ano_registro,id_producto,titulo,tipo_producto,institucion,grupo_red,responsable
2007,300100038,RCEA-02-12517-2006,Consultores certificados,Conacyt,Sin dato,Berlanga Robles Cesar Alejandro
2007,300100039,RCEA-02-12505-2006,Consultores certificados,Conacyt,Sin dato,Betancourt Lozano Miguel
2007,300100040,RCEA-06-7820-2002,Consultores certificados,Conacyt,Sin dato,Calvario Martínez Omar
2007,300100041,RCEA-06-11723-2006,Consultores certificados,Conacyt,Sin dato,Carvajal Millán Elizabeth
2007,300100042,RCEA-03-10193-2005,Consultores certificados,Conacyt,Sin dato,Chaidez Quiroz Cristobal
2007,300100043,RCEA-06-11634-2006,Consultores certificados,Conacyt,Sin dato,Díaz Cinco Martha Elvia
2007,300100044,RCEA-02-2886-2002,Consultores certificados,Conacyt,Sin dato,Esqueda Valle Martín Candelario
2007,300100045,RCEA-02-2933-2003,Consultores certificados,Conacyt,Sin dato,Fajer Ávila Emma Joséfina
2007,300100046,RCEA-02-13339-2006,Consultores certificados,Conacyt,Sin dato,Findley Talbott Lloyd
2007,300100047,RCEA-02-2545-2002,Consultores certificados,Conacyt,Sin dato,Gallo Reynoso Juan Pablo
2007,300100048,RCEA-06-9444-2004,Consultores certificados,Conacyt,Sin dato,García Aguilar Noemi
2007,300100049,RCEA-02-3019-2002,Consultores certificados,Conacyt,Sin dato,García De la Parra Luz María
2007,300100050,RCEA-06-7039-2002,Consultores certificados,Conacyt,Sin dato,García Estrada Raymundo Saúl
2007,300100051,RCEA-02-3018-2002,Consultores certificados,Conacyt,Sin dato,García Gasca Silvia Alejandra
2007,300100052,RCEA-02-3072-2003,Consultores certificados,Conacyt,Sin dato,García Hernández Jaqueline
2007,300100053,RCEA-06-11607-2006,Consultores certificados,Conacyt,Sin dato,García Ortega Armando
2007,300100054,RCEA-06-7207-2002,Consultores certificados,Conacyt,Sin dato,Gardea Béjar Alfonso Antero
2007,300100055,RCEA-06-7473-2002,Consultores certificados,Conacyt,Sin dato,Gollas Galván Teresa
2007,300100056,RCEA-06-7385-2002,Consultores certificados,Conacyt,Sin dato,Gómez Gil Rodríguez Sala Bruno
2007,300100057,RCEA-02-10078-2005,Consultores certificados,Conacyt,Sin dato,Gómez Jiménez Silvia
2007,300100058,RCEA-06-6727-2003,Consultores certificados,Conacyt,Sin dato,González León Alberto
2007,300100059,RCEA-02-2482-2002,Consultores certificados,Conacyt,Sin dato,Goycoolea Valencia Francisco
2007,300100060,RCEA-06-6963-2003,Consultores certificados,Conacyt,Sin dato,Guerrero Prieto Víctor Manuel
2007,300100061,RCEA-06-7465-2002,Consultores certificados,Conacyt,Sin dato,Hernández López Jesús
2007,300100062,RCEA-02-9145-2002,Consultores certificados,Conacyt,Sin dato,Hernández Martínez Javier
2007,300100063,RCEA-05-6434-2002,Consultores certificados,Conacyt,Sin dato,Hernández Moreno María del Carmen
2007,300100064,RCEA-06-6705-2002,Consultores certificados,Conacyt,Sin dato,Higuera Ciapara Inocencio
2007,300100065,RCEA-05-11554-2006,Consultores certificados,Conacyt,Sin dato,Huesca Reynoso Luis
2007,300100066,RCEA-06-9567-2004,Consultores certificados,Conacyt,Sin dato,Martínez Cordero Francisco Javier
2007,300100067,RCEA-06-6728-2002,Consultores certificados,Conacyt,Sin dato,Martínez Téllez Miguel Ángel
2007,300100068,RCEA-03-3898-2002,Consultores certificados,Conacyt,Sin dato,Méndez Estrada Rosa Olivia
2007,300100069,RCEA-06-13048-2006,Consultores certificados,Conacyt,Sin dato,Muy Rangel María Dolores
2007,300100070,RCEA-07-7836-2002,Consultores certificados,Conacyt,Sin dato,Noriega Orozco Lorena Olivia
2007,300100071,RCEA-05-11957-2006,Consultores certificados,Conacyt,Sin dato,Núñez Noriega Luis
2007,300100072,RCEA-04-11256-2006,Consultores certificados,Conacyt,Sin dato,Núñez Noriega Guillermo
2007,300100073,RCEA-06-11725-2006,Consultores certificados,Conacyt,Sin dato,Olivas Orozco Guadalupe Isela
2007,300100074,RCEA-06-11712-2006,Consultores certificados,Conacyt,Sin dato,Osuna Enciso Tomás
2007,300100075,RCEA-06-7118-2002,Consultores certificados,Conacyt,Sin dato,Pacheco Aguilar Ramón
2007,300100076,RCEA-02-11021-2006,Consultores certificados,Conacyt,Sin dato,Pfeiler Isham Edward Joseph Jr.
2007,300100077,RCEA-06-11697-2006,Consultores certificados,Conacyt,Sin dato,Ramírez Suárez Juan Carlos
2007,300100078,RCEA-06-11722-2006,Consultores certificados,Conacyt,Sin dato,Rascón Chu Agustín
2007,300100079,RCEA-04-4416-2002,Consultores certificados,Conacyt,Sin dato,Román Pérez Rosario
2007,300100080,RCEA-06-13112-2006,Consultores certificados,Conacyt,Sin dato,Ruiz Cruz Saúl
2007,300100081,RCEA-02-2365-2002,Consultores certificados,Conacyt,Sin dato,Ruiz Luna Arturo
2007,300100082,RCEA-05-11535-2006,Consultores certificados,Conacyt,Sin dato,Salazar Solano Vidal
2007,300100083,RCEA-06-7527-2002,Consultores certificados,Conacyt,Sin dato,Sánchez Chávez Esteban
2007,300100084,RCEA-06-7571-2002,Consultores certificados,Conacyt,Sin dato,Sánchez Escalante Armida
2007,300100085,RCEA-05-5823-2003,Consultores certificados,Conacyt,Sin dato,Sandoval Godoy Sergio Alfonso
2007,300100086,RCEA-06-11726-2006,Consultores certificados,Conacyt,Sin dato,Sepúlveda Ahumada David Roberto
2007,300100087,RCEA-06-11649-2006,Consultores certificados,Conacyt,Sin dato,Siller Cepeda Jorge Humberto
2007,300100088,RCEA-06-7513-2002,Consultores certificados,Conacyt,Sin dato,Sotelo Mundo Rogerio Rafael
2007,300100089,RCEA-06-6719-2002,Consultores certificados,Conacyt,Sin dato,Soto Rodríguez Sonia Araceli
2007,300100090,RCEA-06-6730-2002,Consultores certificados,Conacyt,Sin dato,Soto Valdez Herlinda
2007,300100091,RCEA-05-13437-2006,Consultores certificados,Conacyt,Sin dato,Taddei Bringas Isabel Cristina
2007,300100092,RCEA-06-10589-2005,Consultores certificados,Conacyt,Sin dato,Tiznado Hernández Martín Ernesto
2007,300100093,RCEA-06-7568-2002,Consultores certificados,Conacyt,Sin dato,Torrescano Urrutia Gastón Ramón
2007,300100094,RCEA-03-3933-2003,Consultores certificados,Conacyt,Sin dato,Valenzuela Quintanar Ana Isabel
2007,300100095,RCEA-06-6714-2002,Consultores certificados,Conacyt,Sin dato,Vallejo Galland Belinda
2007,300100096,RCEA-02-10955-2006,Consultores certificados,Conacyt,Sin dato,van der Heiden Joris Albert Maurits
2007,300100097,RCEA-04-4761-2002,Consultores certificados,Conacyt,Sin dato,Vera Noriega José Angel
2007,300100098,RCEA-06-7245-2002,Consultores certificados,Conacyt,Sin dato,Yépiz Plascencia Gloria Martína
2007,300100099,SeNASICA-26-BPA-107-2005,Consultores certificados,SENASICA,Sin dato,Martínez Téllez Miguel Ángel
2007,300100016,Evaluador Acreditado ante ema,Evaluadores certificados por EMA,ema,Sin dato,Calvario Martínez Omar
2007,300100019,Experto técnico ETAG-123-LE,Evaluadores certificados por EMA,ema,Sin dato,Domínguez Jiménez Virginia Patricia
2007,300100002,Acreditación No. A-0023-002/07 Laboratorio de ensayos de acuerdo a los requisitos establecidos en la Norma Mexicana NMX-EC-17025-IMNC-2000 (ISO/IEC 17025:1999) para las actividades de evaluación de la conformidad en la rama Alimentos,Laboratorios acreditados,ema,Sin dato,Báez Sañudo Reginaldo
2007,300100003,Acreditación No. SA-0031-004/07 Sanidad Agropecuaria,Laboratorios acreditados,ema,Sin dato,González León Alberto
2007,300100005,Mantenimiento de la acreditación SA-027-004/06 del Laboratorio de Aseguramiento de la Calidad Microbiología de Alimentos,Mantenimiento o ampliación de la acreditación,ema,Sin dato,Díaz Cinco Martha Elvia
2007,300100008,México Calidad Suprema,Mantenimiento o ampliación de la acreditación,ema,Sin dato,Siller Cepeda Jorge Humberto
2007,300100014,Acreditación ema:SA-040-001/03,Mantenimiento o ampliación de la acreditación,ema,Sin dato,Vázquez Moreno Luz
2007,300100018,Laboratorio Acreditado por el Programa Nacional de Sanidad Acuícola,Mantenimiento o ampliación de la acreditación,SAGARPA,Sin dato,Montoya Rodríguez Leobardo
2008,300100101,Miembro del Registro Conacyt de Evaluadores Acreditados (RCEA) en el Área VI. Biotecnología y Agropecuarias,Consultores certificados,CONACYT,Sin dato,Troncoso Rojas Rosalba
2008,300100103,Evaluador Acreditado RCEA-06-11607-2006,Consultores certificados,CONACYT,Sin dato,García Ortega Armando
2008,300100104,Consultor en el área de alimentos,Consultores certificados,Gobierno del Estado de Sinaloa,Sin dato,Muy Rangel María Dolores
2008,300100105,Registro Conacyt de Evaluadores Acreditados RCEA-06-7527-2002,Consultores certificados,CONACYT,Sin dato,Sánchez Chávez Esteban
2008,300100106,Tercero Especialista Fitosanitario Clave 09-726-006-TEF-VCPR,Consultores certificados,SAGARPA,Sin dato,Báez Sañudo Reginaldo
2008,300100110,Auditing SQF System,Consultores certificados,"AVQ Consultoría Integral, S.C.",Sin dato,Chaidez Quiroz Cristobal
2008,300100111,Evaluador Acreditado RCEA-06-?16133-2008,Consultores certificados,CONACYT,Sin dato,Allende Molar Raul
2008,300100112,Acreditación como Asesor de Producción y Certificación de Alimentos Orgánicos,Consultores certificados,"FIRA, CESAVESIN",Sin dato,García Estrada Raymundo Saúl
2008,300100113,Acreditación como Asesor de Producción y Certificación de Alimentos Orgánicos,Consultores certificados,FIRA-CESAVESIN-BIOAGRICERT,Sin dato,Carrillo Fasio José Armando
2008,300100115,Asesor de Producción y Certificación de Alimentos Orgánicos,Consultores certificados,FITA-CESAVESIN-BIOAGRICERT,Sin dato,Rubio Carrasco Werner
2008,300100116,Prueba de aptitud técnica 2007,Consultores certificados,Colegio de Posgraduados,Sin dato,Rubio Carrasco Werner
2008,300100117,Certificación de personas para la producción orgánica de cultivos agrícolas,Consultores certificados,FIRA-CESAVESIN-Bioagricert,Sin dato,Rubio Carrasco Werner
2008,300100126,"Evaluador acreditado para la difusión de la marca oficial ""México Calidad Suprema"".",Consultores certificados,Dirección General de Normas de la Secretaría de Economía,Sin dato,Contreras Angulo Laura Aracely
2008,300100127,Evaluador acreditado para la difusión de la marca oficial,Consultores certificados,Dirección General de Normas de la Secretaría de Economía,Sin dato,Vélez De la Rocha Rosabel
2008,300100128,Evaluador acreditado para la difusión de la marca oficial,Consultores certificados,Dirección General de Normas de la Secretaría de Economía,Sin dato,Muy Rangel María Dolores
2008,300100129,Evaluador acreditado para la difusión de la marca oficial,Consultores certificados,Dirección General de Normas de la Secretaría de Economía,Sin dato,Osuna Enciso Tomás
2008,300100130,Evaluador acreditado para la difusión de la marca oficial,Consultores certificados,Dirección General de Normas de la Secretaría de Economía,Sin dato,Báez Sañudo Manuel Alonzo
2008,300100131,Evaluador acreditado para la difusión de la marca oficial,Consultores certificados,Dirección General de Normas de la Secretaría de Economía,Sin dato,Martínez Montoya Marco Cesar de Jesus
2008,300100132,Evaluador acreditado para la difusión de la marca oficial,Consultores certificados,Dirección General de Normas de la Secretaría de Economía,Sin dato,Contreras Martínez Rosalba
2008,300100133,Auditing SQF System,Consultores certificados,AVQ Consultoría Integralm S.C.,Sin dato,Báez Sañudo Manuel Alonzo
2008,300100134,Implementing SQF Systems,Consultores certificados,"AVQ Consultoría Integral, S.C.",Sin dato,Báez Sañudo Manuel Alonzo
2008,300100135,"Acreditación como ""Asesor de Producción y Certividación de Alimentos Orgánicos"".",Consultores certificados,FIRA-CESAVESIN-BIOAGRICERT,Sin dato,Báez Sañudo Manuel Alonzo
2008,300100136,Autorización de Terceros Especialistas en Buenas Prácticas Agrícolas,Consultores certificados,SAGARPA,Sin dato,Báez Sañudo Manuel Alonzo
2008,300100138,"Acreditación como ""Asesor de Producción y Certificación de Alimentos Orgánicos",Consultores certificados,FIRA-CESAVESIN-BIOAGRICERT,Sin dato,Castro Del Campo Nohelia
2008,300100140,Evaluador Acreditado RCEA- 02-2101-2002,Consultores certificados,CONACYT,Sin dato,Calderón de la Barca Cota Ana María
2008,300100141,Evaluador Acreditado RCEA-06-6963-2003,Consultores certificados,CONACYT,Sin dato,Guerrero Prieto Víctor Manuel
2008,300100142,Evaluador acreditado RCEA-02-2933-2003,Consultores certificados,CONACYT,Sin dato,Fajer Ávila Emma Joséfina
2008,300100143,Evaluador Acreditado RCEA-06-16043-2008,Consultores certificados,CONACYT,Sin dato,Lizardi Mendoza Jaime
2008,300100144,Evaluador Acreditado RCEA-06-7820-2002,Consultores certificados,CONACYT,Sin dato,Calvario Martínez Omar
2008,300100145,ACC Evaluador,Consultores certificados,Aquaculutre Certification Council (ACC),Sin dato,Noriega Orozco Lorena Olivia
2008,300100146,Consultor RCEA-02-10078-2005,Consultores certificados,CONACYT,Sin dato,Gómez Jiménez Silvia
2008,300100147,Evaluador Acreditado RCEA-06-7465-2002,Consultores certificados,CONACYT,Sin dato,Hernández López Jesús
2008,300100148,Evaluador Acreditado RCEA-06-7207-2002,Consultores certificados,Conacyt,Sin dato,Gardea Béjar Alfonso Antero
2008,300100149,Certificado de Acreditación No. 12349,Consultores certificados,SQF Systems,Sin dato,Contreras Angulo Laura Aracely
2008,300100150,2008 Auditing SQF Systems,Consultores certificados,SQF Institute,Sin dato,Contreras Angulo Laura Aracely
2008,300100151,Miembro del Registro CONACYT de Evaluadores Acreditados (RCEA),Consultores certificados,Consejo Nacional de Ciencia y Tecnología (CONACYT),Sin dato,Vallejo Galland Belinda
2008,300100152,Evaluador Acreditado RCEA-06-9569-2004,Consultores certificados,CONACYT,Sin dato,Montoya Rodríguez Leobardo
2008,300100109,Experto técnico ETAG-123-LE,Evaluadores certificados por EMA,entidad mexicana de acreditacion ac (ema),Sin dato,Domínguez Jiménez Virginia Patricia
2008,300100118,Auditor Interno,Evaluadores certificados por EMA,EMA,Sin dato,Rubio Carrasco Werner
2008,300100119,Evaluador de producto 1,Evaluadores certificados por EMA,EMA,Sin dato,Vélez De la Rocha Rosabel
2008,300100120,Evaluador de producto 2,Evaluadores certificados por EMA,EMA,Sin dato,Contreras Angulo Laura Aracely
2008,300100121,Evaluador de producto 3,Evaluadores certificados por EMA,EMA,Sin dato,Contreras Martínez Rosalba
2008,300100122,Evaluador de producto 4,Evaluadores certificados por EMA,EMA,Sin dato,Osuna Enciso Tomás
2008,300100123,Evaluador de producto 5,Evaluadores certificados por EMA,EMA,Sin dato,Heredia . José Basilio
2008,300100124,Evaluador de producto 6,Evaluadores certificados por EMA,EMA,Sin dato,Sañudo Barajas Josefa Adriana
2008,300100125,Coordinador de evaluadores de producto,Evaluadores certificados por EMA,EMA,Sin dato,Báez Sañudo Manuel Alonzo
2008,300100139,Experto técnico ETAG-087-LE,Evaluadores certificados por EMA,Entidad Mexicana de Acreditación (ema),Sin dato,Calvario Martínez Omar
2008,300100137,Empresa Formuladora de Plaguicidas,Laboratorios acreditados,"Servicio de Sanidad, Inocuidad y Calidad Agroalimentaria-SAGARPA",Sin dato,Angulo Escalante Miguel Angel
2008,300100100,Laboratorio  Tercero Especialista aprobado por la SAGARPA para determinación de residuos de fármacos en camarón,Mantenimiento o ampliación de la acreditación,SAGARPA,Sin dato,Montoya Rodríguez Leobardo
2008,300100102,Constancia de Acreditación No: A-010-139/08. Laboratorio de Ensayos de acuerdo a los requisitos establecidos en la Norma NMX-EC-17025-IMNC-2006 (ISO/IEC 17025:2005) para las actividades de  evaluación de la conformidad e la rama: Alimentos,Mantenimiento o ampliación de la acreditación,Entidad Mexicana de Acreditación (ema),Sin dato,Noriega Orozco Lorena Olivia
2008,300100107,Mantenimiento de la acreditación ante ema,Mantenimiento o ampliación de la acreditación,"entidad mexicana de acreditación, a.c. (ema)",Sin dato,Vázquez Moreno Luz
2008,300100108,Laboratorio aprobado como Laboratorio de Constatación para las Áreas de Residuos Tóxicos y Contaminantes en Carne,Mantenimiento o ampliación de la acreditación,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación (SAGARPA)",Sin dato,Vázquez Moreno Luz
2008,300100114,Acreditación No. 50/06 Organismo de Certificacion de Producto,Mantenimiento o ampliación de la acreditación,"Entidad Mexicana de Acreditación, A.C. (ema)",Sin dato,Muy Rangel María Dolores
2009,300100153,Evaluacion de Proyecto Fomix-Zacatecas,Consultores certificados,Fondo Mixto del Gobierno de Zacatecas,Sin dato,Sánchez Chávez Esteban
2009,300100154,"Miembro del Registro CONACYT de Evaluadores Acreditados (RCEA) en el Área 2 ""Biología y Química"".",Consultores certificados,CONACYT,Sin dato,López Franco Yolanda Leticia
2009,300100155,Evaluador Acreditado RCEA-02-18642-2009,Consultores certificados,CONACYT,Sin dato,Almazán Rueda Pablo
2009,300100156,Miembro del Registro CONACYT de Evaluadores Acreditados (RCEA),Consultores certificados,CONACYT,Sin dato,Peña Ramos Etna Aida
2009,300100157,Evaluador acreditado RCEA-06-13471-2006,Consultores certificados,Conacyt,Sin dato,Acedo Félix Evelia
2009,300100158,Food Defense dentro del diplomado Calidad y Seguridad Alimentaria,Consultores certificados,"BRS Food Safety, Food Safety International Network",Sin dato,Montoya Rodríguez Leobardo
2009,300100160,Registro Conacyt de Evaluadores Acreditados RCEA-06-16133-2008,Consultores certificados,CONACYT,Sin dato,Allende Molar Raul
2009,300100161,Biotecnología y Agropecuarías,Consultores certificados,CONACyT,Sin dato,Muy Rangel María Dolores
2009,300100162,Registro CONACYT de Evaluadores Acreditados (RCEA),Consultores certificados,CONACYT,Sin dato,Ayala Zavala Jesús Fernando
2009,300100163,Certificado en agronegocios,Consultores certificados,ITESM & Arizona State University,Sin dato,Báez Sañudo Manuel Alonzo
2009,300100164,Incorporación al REGISTRO CONACYT DE EVALUADORES ACREDITADOS,Consultores certificados,CONACYT,Sin dato,Ornelas Paz José de Jesús
2009,300100165,Evaluador Acreditado RCEA-02-18761-2009,Consultores certificados,CONACYT,Sin dato,Puello Cruz Ana Carmela
2009,300100167,Evaluador Acreditado RCEA-06-9569-2004,Consultores certificados,CONACYT,Sin dato,Montoya Rodríguez Leobardo
2009,300100168,Registro CONACYT de Evaluadores Acreditados (RCEA),Consultores certificados,CONACYT,Sin dato,Islas Rubio Alma Rosa
2009,300100169,Certificado como experto HACCP,Consultores certificados,AVQ Consultoría Integral S.C.,Sin dato,Contreras Martínez Rosalba
2009,300100170,Enfermedades parasitarias de los peces y su control,Consultores certificados,Acuícola Salinera,Sin dato,Fajer Ávila Emma Joséfina
2009,300100172,Evaluador Acreditado CONACYT - RCEA-06-12241-2005,Consultores certificados,conacyt,Sin dato,Ávila Quezada Graciela Dolores
2009,300100173,"Registro CONACYT de Evaluadores Acreditados (RCEA), en el Área VI. Biotecnología y Ciencias Agropecuarias",Consultores certificados,CONACYT,Sin dato,García Ortega Armando
2009,300100175,Evaluador Acreditado CONACYT - RCEA--06-7820-2002,Consultores certificados,CONACyT,Sin dato,Calvario Martínez Omar
2009,300100176,Organismo de certificación de producto (OCP),Consultores certificados,ema,Sin dato,Muy Rangel María Dolores
2009,300100177,Licencia radiológica en operación,Consultores certificados,CNSNS,Sin dato,García Hernández Jaqueline
2009,300100178,Asesor Técnico en el manejo fitosanitario del cultivo de hortalizas en el estado de Sinaloa,Consultores certificados,CESAVESIN O SAGARPA,Sin dato,García Estrada Raymundo Saúl
2009,300100179,Evaluador de producto 3,Consultores certificados,Sin dato,Sin dato,Chaidez Quiroz Cristobal
2009,300100180,Evaluador acreditado para la difusión de la marca oficial,Consultores certificados,Dirección general de Normas de la Secretaria de Economia,Sin dato,Contreras Angulo Laura Aracely
2009,300100181,RCEA-06-7465-2002,Consultores certificados,Conacyt,Sin dato,Hernández López Jesús
2009,300100183,"Acreditación y certificación (Consultores certificados).Gómez Jiménez, S.Listado de CONACYT.Consultor RCEA-02-10078-2005.CONACYT",Consultores certificados,CONACYT,Sin dato,Gómez Jiménez Silvia
2009,300100185,Miembro del Registro CONACYT de Evaluadores Acreditados (RCEA),Consultores certificados,Registro de Consultores Especialistas Acreditados (RCEA) del CONACyT,Sin dato,Vallejo Galland Belinda
2009,300100186,"Acreditación como ""Consultor General"".",Consultores certificados,Consejo de Normalización y Certificación de Competencia Laboral,Sin dato,Vallejo Galland Belinda
2009,300100187,Registro CONACYT de Evaluadores Acreditados (RCEA),Consultores certificados,Registro de Consultores Especialistas Acreditados (RCEA) del CONACyT,Sin dato,González Córdova Aarón Fernando
2009,300100188,Miembro del Registro CONACYT de Evaluadores Acreditados (RCEA),Consultores certificados,CONACYT,Sin dato,Huesca Reynoso Luis
2009,300100189,Prueba de aptitud técnica 2008,Consultores certificados,El programa de calidad e intercomparación de análisis de suelos y plantas,Sin dato,Pérez Rubio Verónica
2009,300100159,Experto técnico ETAG-123-LE,Evaluadores certificados por EMA,Entidad Mexicana de Acreditacion,Sin dato,Domínguez Jiménez Virginia Patricia
2009,300100174,Experto técnico ETAG-113-LE,Evaluadores certificados por EMA,Entiodad Mexicana de Acreditacion,Sin dato,Calvario Martínez Omar
2009,300100184,Evaluador acreditado para la difusión de la marca oficial,Evaluadores certificados por EMA,Entidad Mexicana de Acreditación,Sin dato,Muy Rangel María Dolores
2009,300100166,Auditor líder certificado ISO 22000:2005,Mantenimiento o ampliación de la acreditación,Food Safety International Network,Sin dato,Montoya Rodríguez Leobardo
2009,300100171,"Renovación de la Acreditación A-048-008/09, como Laboratorio de Ensayo.",Mantenimiento o ampliación de la acreditación,entidad mexicana de acreditación,Sin dato,Acedo Félix Evelia
2009,300100182,Licencia radiológica en operación,Mantenimiento o ampliación de la acreditación,Comisión Nacional de Seguridad Nuclear,Sin dato,"Tiznado Hernández Martín Ernesto,Gallegos Aguilar Ana Cristina"
2009,300100190,Manteinimiento de Acreditación  SA-040-001/08,Mantenimiento o ampliación de la acreditación,Entidad Mexicana de Acreditación,Sin dato,Vázquez Moreno Luz
2009,300100191,La entidad mexicana de acreditación otorga la ampliación de la acreditación del organismo de certificación de producto en tomate,Mantenimiento o ampliación de la acreditación,Entidad Mexicana de Acreditación A.C.,Sin dato,Siller Cepeda Jorge Humberto
2010,300100193,RCEA-06-9444-2004,Consultores certificados,RCEA-CONACYT,Sin dato,García Aguilar Noemi
2010,300100194,RCEA-02-3019-2002,Consultores certificados,RCEA-CONACYT,Sin dato,García De la Parra Luz María
2010,300100195,RCEA-06-7039-2002,Consultores certificados,RCEA-CONACYT,Sin dato,García Estrada Raymundo Saúl
2010,300100196,RCEA-02-3018-2002,Consultores certificados,RCEA-CONACYT,Sin dato,García Gasca Silvia Alejandra
2010,300100197,RCEA-02-3072-2003,Consultores certificados,RCEA-CONACYT,Sin dato,García Hernández Jaqueline
2010,300100198,RCEA-06-11607-2006,Consultores certificados,RCEA-CONACYT,Sin dato,García Ortega Armando
2010,300100199,RCEA-6-21671-2011,Consultores certificados,RCEA-CONACYT,Sin dato,García Sifuentes Celia Olivia
2010,300100200,RCEA-06-7207-2002,Consultores certificados,RCEA-CONACYT,Sin dato,Gardea Béjar Alfonso Antero
2010,300100201,RCEA-06-7473-2002,Consultores certificados,RCEA-CONACYT,Sin dato,Gollas Galván Teresa
2010,300100202,RCEA-06-7385-2002,Consultores certificados,RCEA-CONACYT,Sin dato,Gómez Gil Rodríguez Sala Bruno
2010,300100203,RCEA-02-10078-2005,Consultores certificados,RCEA-CONACYT,Sin dato,Gómez Jiménez Silvia
2010,300100204,RCEA-06-7226-2002,Consultores certificados,RCEA-CONACYT,Sin dato,González Aguilar Gustavo Adolfo
2010,300100205,RCEA-07-9572-2004,Consultores certificados,RCEA-CONACYT,Sin dato,González Córdova Aarón Fernando
2010,300100206,RCEA-06-6727-2003,Consultores certificados,RCEA-CONACYT,Sin dato,González León Alberto
2010,300100207,RCEA-02-2482-2002,Consultores certificados,RCEA-CONACYT,Sin dato,Goycoolea Valencia Francisco
2010,300100208,RCEA-06-6963-2003,Consultores certificados,RCEA-CONACYT,Sin dato,Guerrero Prieto Víctor Manuel
2010,300100209,RCEA-07-20395-2010,Consultores certificados,RCEA-CONACYT,Sin dato,Heredia . José Basilio
2010,300100210,RCEA-06-19909-2010,Consultores certificados,RCEA-CONACYT,Sin dato,Hernández González Crisantema
